content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
one of my favorite places in brooklyn,ambience,0,0,2,2,"[[0.01852815 0.10924785 0.01193787 0.1095625  0.45946038 0.23269929
  0.05856398]]","[[0.00000649 0.00000355 0.00002447 0.00009929 0.9998149  0.0000143
  0.00003691]]"
one of my favorite places in brooklyn,drinks,0,0,2,2,"[[0.43868282 0.47760573 0.01081294 0.0154027  0.01099647 0.01486877
  0.03163058]]","[[0.7923853  0.00023597 0.01811212 0.05342098 0.13459525 0.00121666
  0.00003378]]"
one of my favorite places in brooklyn,food,0,0,2,2,"[[0.3682894  0.5107151  0.00460189 0.00543097 0.01317266 0.04319748
  0.05459244]]","[[0.24913484 0.6783722  0.01503428 0.02883431 0.0189005  0.00632056
  0.00340324]]"
one of my favorite places in brooklyn,location,0,0,2,2,"[[0.15752086 0.61320907 0.02017631 0.05761302 0.09203751 0.04582278
  0.01362042]]","[[0.33860806 0.36577424 0.05719641 0.1233894  0.10526183 0.00777813
  0.00199199]]"
one of my favorite places in brooklyn,restaurant,1,0,1,1,"[[0.32658362 0.64387923 0.00383162 0.00716304 0.00794695 0.00622178
  0.00437377]]","[[0.25131366 0.33319953 0.1144975  0.17543548 0.11012575 0.01200415
  0.00342388]]"
one of my favorite places in brooklyn,service,0,0,2,2,"[[0.48551005 0.41919973 0.01437842 0.00519423 0.01356788 0.0154522
  0.0466975 ]]","[[0.9999969  0.0000015  0.00000032 0.00000035 0.00000006 0.0000001
  0.00000068]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,ambience,0,0,2,2,"[[0.00079227 0.07938053 0.00563018 0.0227332  0.02982198 0.3420968
  0.05436451 0.05409274 0.32358262 0.00140556 0.00373532 0.0025344
  0.0061272  0.05296516 0.01774984 0.00177559 0.00121211]]","[[0.         0.         0.         0.         0.         0.99988365
  0.         0.00010078 0.00001287 0.00000003 0.00000067 0.00000008
  0.         0.         0.         0.00000003 0.00000187]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,drinks,0,0,2,2,"[[0.0017525  0.6279637  0.00233348 0.00166583 0.00261621 0.12279259
  0.00164789 0.00046583 0.00060592 0.0000113  0.00000746 0.00002108
  0.00022867 0.23659754 0.00126721 0.00001187 0.00001086]]","[[0.14114307 0.         0.50970185 0.00028807 0.00060789 0.34736708
  0.00089207 0.         0.         0.         0.         0.
  0.         0.00000001 0.         0.         0.        ]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,food,1,1,1,1,"[[0.00061764 0.5365482  0.00206962 0.00285536 0.00113221 0.07438277
  0.00038311 0.00013525 0.0000356  0.00000308 0.00000315 0.00000706
  0.00022098 0.3799142  0.00166672 0.00000975 0.00001527]]","[[0.00635854 0.00018884 0.33103633 0.08018005 0.04700055 0.46843064
  0.06531999 0.00001334 0.00000837 0.00000461 0.00000173 0.00000341
  0.0003184  0.00066677 0.00043873 0.00002679 0.00000296]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,location,0,0,2,2,"[[0.00099222 0.13045995 0.01330169 0.0383183  0.05496449 0.4226685
  0.09386557 0.05864425 0.02514913 0.00122506 0.00166508 0.00124198
  0.00493875 0.13806902 0.01413971 0.00027081 0.00008553]]","[[0.00000001 0.00000087 0.00022822 0.00015149 0.0002322  0.00000001
  0.00003179 0.13708843 0.8320422  0.02855279 0.00130072 0.00027697
  0.00000015 0.00000001 0.00000046 0.00009229 0.00000125]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,restaurant,0,0,2,2,"[[0.00264434 0.71724045 0.01377404 0.01964292 0.01516502 0.19575639
  0.00693027 0.00220486 0.00092167 0.00001191 0.00001089 0.00000734
  0.00010064 0.02477427 0.00080205 0.0000082  0.00000477]]","[[0.00097891 0.         0.31948444 0.00586923 0.0042761  0.6682496
  0.0011416  0.00000011 0.00000008 0.         0.         0.
  0.         0.         0.         0.         0.        ]]"
the pastas are incredible the risottos (particularly the sepia are fantastic and the braised rabbit is amazing,service,0,0,2,2,"[[0.0176915  0.53880423 0.02879078 0.02322217 0.02833145 0.05879767
  0.02987614 0.00898329 0.0024086  0.00033847 0.00056745 0.00092728
  0.00579241 0.21724756 0.03561074 0.00147447 0.00113579]]","[[0.00004865 0.999877   0.0000063  0.00001588 0.00001295 0.00001492
  0.00002411 0.00000001 0.         0.         0.         0.
  0.00000006 0.00000022 0.00000001 0.         0.00000001]]"
overpriced and not tasty,ambience,0,0,2,2,[[0.02220126 0.02112521 0.01062598 0.94604754]],[[0.00350072 0.00993228 0.0004891  0.9860779 ]]
overpriced and not tasty,drinks,0,0,2,2,[[0.03776801 0.00458112 0.00359087 0.95406   ]],[[0.82941025 0.16666713 0.00392245 0.00000016]]
overpriced and not tasty,food,1,1,-1,-1,[[0.00159705 0.00047422 0.00086008 0.99706864]],[[0.53544444 0.21491517 0.24485326 0.00478712]]
overpriced and not tasty,location,0,0,2,2,[[0.02173704 0.0167411  0.01130458 0.9502173 ]],[[0.2533023  0.46015695 0.01055444 0.27598628]]
overpriced and not tasty,restaurant,0,0,2,2,[[0.01296584 0.00411093 0.00275983 0.9801634 ]],[[0.69610626 0.29387704 0.01000355 0.00001316]]
overpriced and not tasty,service,0,0,2,2,[[0.06031486 0.03746358 0.04447979 0.8577418 ]],[[0.03088478 0.0744888  0.0016443  0.8929821 ]]
the food here was mediocre at best,ambience,0,0,2,2,"[[0.03253472 0.728762   0.04495964 0.01900825 0.16519399 0.0070787
  0.00246271]]","[[0.00000783 0.9999659  0.00000192 0.00000082 0.000008   0.00001255
  0.00000304]]"
the food here was mediocre at best,drinks,0,0,2,2,"[[0.0739326  0.88103956 0.01249819 0.00447096 0.02693995 0.00042754
  0.00069117]]","[[0.20555258 0.00000005 0.11941985 0.60433763 0.07013626 0.00000187
  0.00055167]]"
the food here was mediocre at best,food,1,1,-1,-1,"[[0.00523774 0.9940685  0.0001461  0.00006129 0.00045652 0.00000491
  0.00002492]]","[[0.5159389  0.0271029  0.34581023 0.04866564 0.05995996 0.00017011
  0.00235231]]"
the food here was mediocre at best,location,0,0,2,2,"[[0.03425667 0.88189185 0.01406347 0.0102806  0.05713049 0.00164332
  0.00073358]]","[[0.09915318 0.87594235 0.01328426 0.0044913  0.003919   0.00155626
  0.00165356]]"
the food here was mediocre at best,restaurant,0,0,2,2,"[[0.03070008 0.96349627 0.00255927 0.00062617 0.00257442 0.00002506
  0.00001873]]","[[0.70832515 0.00057009 0.25894746 0.01994386 0.01113945 0.00008853
  0.00098549]]"
the food here was mediocre at best,service,0,0,2,2,"[[0.06799494 0.7629993  0.01938271 0.02321567 0.11517193 0.00591559
  0.00531988]]","[[0.00047406 0.9978738  0.00015362 0.00013736 0.00128719 0.00003121
  0.00004281]]"
it was totally overpriced- fish and chips was about $15,ambience,0,0,2,2,"[[0.00442262 0.00851467 0.03345047 0.04329208 0.23141967 0.12629814
  0.33486703 0.09349144 0.0479864  0.07625747]]","[[0.00000146 0.00000052 0.0000032  0.00000075 0.00000002 0.00000017
  0.9999696  0.00000015 0.00002148 0.00000266]]"
it was totally overpriced- fish and chips was about $15,drinks,0,0,2,2,"[[0.0020419  0.00498073 0.00275781 0.01727515 0.2938493  0.01343
  0.64957297 0.01093605 0.00149348 0.00366264]]","[[0.00011993 0.00381178 0.00118696 0.01228049 0.94230306 0.03465718
  0.         0.00561479 0.00000045 0.00002537]]"
it was totally overpriced- fish and chips was about $15,food,1,1,-1,-1,"[[0.00015845 0.00057312 0.00052053 0.00160237 0.7960694  0.00125809
  0.1985901  0.00092569 0.00007577 0.00022648]]","[[0.00334611 0.0070284  0.01645349 0.01452886 0.01742159 0.45434037
  0.3815916  0.09699032 0.00094174 0.00735755]]"
it was totally overpriced- fish and chips was about $15,location,0,0,2,2,"[[0.00045326 0.00241973 0.00376739 0.01850236 0.33766904 0.03548144
  0.5314068  0.0555899  0.00885476 0.00585531]]","[[0.0405925  0.07587899 0.05383167 0.08431134 0.07036979 0.08266257
  0.33605057 0.08237392 0.08362649 0.09030214]]"
it was totally overpriced- fish and chips was about $15,restaurant,0,0,2,2,"[[0.0033706  0.00729616 0.00352319 0.01395975 0.4749806  0.00917381
  0.47803846 0.00794888 0.00060602 0.00110256]]","[[0.0469334  0.12679322 0.07282639 0.15471219 0.32713112 0.25234064
  0.00144425 0.01675116 0.0001546  0.00091307]]"
it was totally overpriced- fish and chips was about $15,service,0,0,2,2,"[[0.00339497 0.01895283 0.00642471 0.0292881  0.12129212 0.03244465
  0.56756777 0.18081157 0.02085038 0.01897292]]","[[0.00119954 0.00083818 0.00105755 0.00081911 0.00628136 0.00895755
  0.9742707  0.0039405  0.00126177 0.0013738 ]]"
tasty dog,ambience,0,0,2,2,[[0.73218006 0.26781994]],[[0.92078155 0.07921846]]
tasty dog,drinks,0,0,2,2,[[0.9157827  0.08421734]],[[0.0000091  0.99999094]]
tasty dog,food,1,1,1,1,[[0.8839809 0.1160191]],[[0.00304727 0.9969528 ]]
tasty dog,location,0,0,2,2,[[0.65767074 0.3423293 ]],[[0.42940366 0.5705964 ]]
tasty dog,restaurant,0,0,2,2,[[0.80265695 0.19734307]],[[0.00000488 0.9999951 ]]
tasty dog,service,0,0,2,2,[[0.42496294 0.57503706]],[[0.23909792 0.76090205]]
an awesome organic dog and a conscious eco friendly establishment,ambience,0,0,2,1,"[[0.00301515 0.02373545 0.15879194 0.05893187 0.13720323 0.07777797
  0.23562925 0.08608001 0.16182396 0.05701116]]","[[0.00009596 0.00008672 0.00003422 0.00008082 0.00029303 0.0919207
  0.1511168  0.3221374  0.34166592 0.09256844]]"
an awesome organic dog and a conscious eco friendly establishment,drinks,0,0,2,2,"[[0.0065527  0.0174868  0.8953339  0.06821013 0.00661142 0.00147951
  0.00180068 0.00024357 0.0003654  0.0019159 ]]","[[0.00289563 0.00554889 0.         0.97963274 0.01077624 0.00002012
  0.00000863 0.00000025 0.00001472 0.00110276]]"
an awesome organic dog and a conscious eco friendly establishment,food,1,1,1,1,"[[0.00964965 0.02044082 0.90712434 0.06177104 0.00066276 0.00005675
  0.00006292 0.0000074  0.00001169 0.00021263]]","[[0.32194847 0.34382552 0.18742287 0.08846914 0.0583318  0.00000094
  0.00000077 0.         0.         0.00000055]]"
an awesome organic dog and a conscious eco friendly establishment,location,0,0,2,2,"[[0.00816705 0.02208593 0.44075918 0.37566692 0.08205229 0.03003036
  0.03133911 0.00334849 0.00524451 0.00130615]]","[[0.00005682 0.00009593 0.00000011 0.00464952 0.0003213  0.00867238
  0.00497823 0.06269135 0.7546995  0.16383481]]"
an awesome organic dog and a conscious eco friendly establishment,restaurant,1,0,1,2,"[[0.01649391 0.02663505 0.79949355 0.1494665  0.00609638 0.00078357
  0.0007917  0.00005428 0.00007907 0.000106  ]]","[[0.01998274 0.02529176 0.00000024 0.939613   0.0139371  0.000051
  0.00003298 0.00001311 0.00014576 0.00093241]]"
an awesome organic dog and a conscious eco friendly establishment,service,0,0,2,2,"[[0.00985953 0.01194314 0.06164291 0.3909352  0.04337959 0.01805265
  0.06446593 0.00562355 0.3203099  0.0737876 ]]","[[0.         0.         0.         0.9999902  0.00000002 0.00000108
  0.00000454 0.00000248 0.00000159 0.00000006]]"
one of the best hot dogs i have ever eaten,ambience,0,0,2,2,"[[0.00354294 0.0243088  0.06522794 0.03021586 0.79564124 0.0616611
  0.00246184 0.00075228 0.00294574 0.01324225]]","[[0.00000044 0.00000006 0.0000002  0.00000018 0.99999917 0.
  0.         0.         0.         0.        ]]"
one of the best hot dogs i have ever eaten,drinks,0,0,2,2,"[[0.09743103 0.15177293 0.07883716 0.03898052 0.21790917 0.17604762
  0.00199397 0.00206935 0.01121302 0.22374523]]","[[0.00002179 0.01159836 0.00086009 0.00588481 0.00575498 0.97588
  0.         0.         0.         0.        ]]"
one of the best hot dogs i have ever eaten,food,1,1,1,1,"[[0.00242827 0.00935763 0.00941041 0.00801475 0.05393701 0.17862698
  0.00018325 0.00009796 0.00199926 0.73594445]]","[[0.0006497  0.01116696 0.12103724 0.23746774 0.3210978  0.3058562
  0.0006749  0.00048674 0.00086105 0.0007017 ]]"
one of the best hot dogs i have ever eaten,location,0,0,2,2,"[[0.01252844 0.07305975 0.11276098 0.05797288 0.33081776 0.36681032
  0.00315212 0.00141213 0.00350548 0.03798015]]","[[0.24439435 0.3274032  0.08298057 0.05925319 0.08634759 0.19962105
  0.         0.         0.         0.        ]]"
one of the best hot dogs i have ever eaten,restaurant,0,0,2,2,"[[0.08243591 0.28473178 0.23055363 0.04709077 0.22041455 0.12674864
  0.00014229 0.00005195 0.000202   0.00762851]]","[[0.04016849 0.00076558 0.19023393 0.26819557 0.27934137 0.22128446
  0.00000076 0.00000067 0.00000105 0.0000081 ]]"
one of the best hot dogs i have ever eaten,service,0,0,2,2,"[[0.05168281 0.07211893 0.07263464 0.06213991 0.1000255  0.5503059
  0.00942174 0.00506914 0.01202684 0.06457459]]","[[0.00000089 0.00000015 0.00000095 0.0000021  0.00000362 0.99999225
  0.         0.         0.         0.        ]]"
"[""can't"", 'wait to go back",ambience,0,0,2,2,[[0.12695476 0.05790828 0.16452534 0.10771113 0.5429005 ]],[[0.04015501 0.11005301 0.14060563 0.30330318 0.4058831 ]]
"[""can't"", 'wait to go back",drinks,0,0,2,2,[[0.60640943 0.14146271 0.08733994 0.0398054  0.12498252]],[[0.00000057 0.5068357  0.02440433 0.44871262 0.02004681]]
"[""can't"", 'wait to go back",food,0,0,2,2,[[0.51157004 0.10763874 0.07421918 0.05551333 0.2510587 ]],[[0.04798914 0.59329784 0.07437038 0.21214989 0.07219274]]
"[""can't"", 'wait to go back",location,0,0,2,2,[[0.23556386 0.16706683 0.2774202  0.11834179 0.20160732]],[[0.19153868 0.3865465  0.03846482 0.2668576  0.11659238]]
"[""can't"", 'wait to go back",restaurant,1,0,1,1,[[0.52856314 0.10378665 0.12356453 0.04616956 0.19791612]],[[0.03983894 0.50022256 0.1230135  0.24090905 0.09601589]]
"[""can't"", 'wait to go back",service,0,0,2,2,[[0.37726414 0.3804758  0.13842687 0.04234271 0.06149048]],[[0.22012033 0.7780268  0.00073259 0.00076951 0.00035073]]
the cypriot restaurant has a lot going for it,ambience,0,0,2,2,"[[0.06452128 0.17664751 0.6942062  0.04232481 0.01426741 0.00689992
  0.00036808 0.00044068 0.0003241 ]]","[[0.05199293 0.05397899 0.8929255  0.00083456 0.00018162 0.00005432
  0.0000068  0.00000653 0.00001885]]"
the cypriot restaurant has a lot going for it,drinks,0,0,2,2,"[[0.62291247 0.29422173 0.03372651 0.03363668 0.00644808 0.00252247
  0.00068483 0.00287152 0.0029757 ]]","[[0.00000009 0.14024499 0.84769857 0.01163919 0.00002872 0.00034988
  0.00002874 0.00000834 0.00000168]]"
the cypriot restaurant has a lot going for it,food,0,0,2,2,"[[0.64462304 0.270545   0.06400649 0.01582143 0.00135104 0.00033062
  0.00014913 0.00100043 0.00217279]]","[[0.0361538  0.5102496  0.4317235  0.01752965 0.00110178 0.00131035
  0.00049775 0.00056054 0.00087307]]"
the cypriot restaurant has a lot going for it,location,0,0,2,2,"[[0.18258092 0.19010814 0.5228201  0.08227531 0.01796661 0.00331484
  0.00036684 0.00045565 0.0001116 ]]","[[0.6928642  0.29232913 0.00377659 0.01028233 0.00043155 0.00030897
  0.00000569 0.00000074 0.00000065]]"
the cypriot restaurant has a lot going for it,restaurant,1,1,1,-1,"[[0.6311301  0.21889786 0.1284274  0.01997253 0.00134306 0.00015407
  0.00001387 0.00003678 0.00002434]]","[[0.00311367 0.4603493  0.5186467  0.01560462 0.00071328 0.00115015
  0.00020935 0.00011091 0.00010193]]"
the cypriot restaurant has a lot going for it,service,0,0,2,2,"[[0.25619927 0.155545   0.35182017 0.18661073 0.03022591 0.00927709
  0.00268646 0.00584063 0.00179473]]","[[0.0009303  0.00084869 0.9982079  0.00000886 0.00000263 0.0000006
  0.00000018 0.00000019 0.00000053]]"
but the best pork souvlaki i ever had is the main thing,ambience,0,0,2,2,"[[0.00039793 0.00346135 0.00249832 0.03087361 0.44109565 0.0147069
  0.00832568 0.0056641  0.0290304  0.09845338 0.2802553  0.08523738]]","[[0.00000004 0.         0.         0.         0.94542485 0.
  0.         0.         0.00000001 0.01461892 0.03948802 0.00046817]]"
but the best pork souvlaki i ever had is the main thing,drinks,0,0,2,2,"[[0.00024642 0.0021163  0.00222954 0.7951815  0.19885567 0.00039161
  0.0003096  0.00026608 0.0000825  0.00018422 0.00008086 0.00005565]]","[[0.         0.001024   0.00423231 0.         0.9947352  0.
  0.00000001 0.00000632 0.00000217 0.         0.         0.        ]]"
but the best pork souvlaki i ever had is the main thing,food,1,1,1,1,"[[0.00001918 0.00039908 0.00072346 0.9532925  0.04555083 0.00000586
  0.000002   0.00000129 0.00000074 0.00000225 0.00000176 0.00000107]]","[[0.00533486 0.20200838 0.33858418 0.00470633 0.43461367 0.00017589
  0.00014976 0.00142135 0.01291816 0.00000878 0.00000903 0.00006971]]"
but the best pork souvlaki i ever had is the main thing,location,0,0,2,2,"[[0.00021778 0.00382199 0.00327348 0.19642279 0.7061102  0.00961827
  0.01004166 0.01315163 0.01648759 0.02885809 0.01090046 0.0010961 ]]","[[0.0000268  0.0000361  0.00002399 0.00000306 0.00066044 0.00000021
  0.00000048 0.00000093 0.00132713 0.481233   0.35255772 0.16413026]]"
but the best pork souvlaki i ever had is the main thing,restaurant,0,0,2,2,"[[0.00014388 0.00247278 0.0010531  0.42606494 0.5694407  0.00046525
  0.00015452 0.00005787 0.00003541 0.00007484 0.00003235 0.00000436]]","[[0.00008185 0.2994991  0.45778525 0.24031097 0.00000154 0.00000416
  0.00000494 0.00013932 0.00216116 0.00000081 0.00000067 0.00001031]]"
but the best pork souvlaki i ever had is the main thing,service,0,0,2,2,"[[0.00475883 0.02438021 0.02289271 0.3777996  0.49880773 0.01268323
  0.0078343  0.02629782 0.00497993 0.01080578 0.00686946 0.0018904 ]]","[[0.00000066 0.00002665 0.00003968 0.00006766 0.99986136 0.0000014
  0.00000174 0.00000046 0.00000009 0.00000009 0.00000005 0.00000002]]"
"run', ""don't"", 'walk",ambience,0,0,2,2,[[0.12586646 0.37766305 0.49647048]],[[0.19744872 0.5026021  0.2999492 ]]
"run', ""don't"", 'walk",drinks,0,0,2,2,[[0.44541183 0.45438164 0.10020652]],[[0.675987   0.00027721 0.32373577]]
"run', ""don't"", 'walk",food,0,0,2,2,[[0.19415921 0.6150357  0.19080509]],[[0.48123    0.21336968 0.30540025]]
"run', ""don't"", 'walk",location,0,0,2,2,[[0.4041795  0.41927847 0.17654201]],[[0.401141   0.06679533 0.53206366]]
"run', ""don't"", 'walk",restaurant,1,0,1,1,[[0.3653815 0.483322  0.1512965]],[[0.565754   0.09691379 0.33733225]]
"run', ""don't"", 'walk",service,0,0,2,2,[[0.66595703 0.22142111 0.11262184]],[[0.93060106 0.0465574  0.02284153]]
super yummy pizza,ambience,0,0,2,2,[[0.00319964 0.0946976  0.90210277]],[[0.0103315  0.02416359 0.96550494]]
super yummy pizza,drinks,0,0,2,2,[[0.00375791 0.1532912  0.8429509 ]],[[0.14702697 0.85297304 0.        ]]
super yummy pizza,food,1,1,1,1,[[0.00246598 0.14535677 0.85217726]],[[0.49963796 0.5003012  0.00006082]]
super yummy pizza,location,0,0,2,2,[[0.00461094 0.09005611 0.905333  ]],[[0.4074716  0.5067585  0.08576982]]
super yummy pizza,restaurant,0,0,2,2,[[0.00219358 0.0713173  0.9264891 ]],[[0.35121366 0.64878625 0.        ]]
super yummy pizza,service,0,0,2,2,[[0.01642651 0.05861096 0.9249625 ]],[[0.23304364 0.21076721 0.5561891 ]]
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,ambience,1,1,1,1,"[[0.00000136 0.0000028  0.000002   0.00000899 0.00000838 0.00002184
  0.00003363 0.00001157 0.00000274 0.00002465 0.00001429 0.00006349
  0.00010584 0.00051322 0.39139408 0.01223142 0.5530079  0.0425518 ]]","[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.0000018  0.00000972 0.00000356 0.00014205 0.00258088 0.997262  ]]"
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,drinks,0,0,2,2,"[[0.0128484  0.01994442 0.00250631 0.00333063 0.00610614 0.00162748
  0.00504266 0.00536521 0.00369687 0.01207684 0.0218064  0.0605318
  0.00829374 0.01029847 0.37539214 0.07392912 0.16056791 0.21663544]]","[[0.         0.00000006 0.00001807 0.         0.         0.00000001
  0.00007551 0.00009358 0.00051736 0.00000029 0.00001416 0.00429711
  0.00010148 0.00023587 0.         0.00298433 0.97664875 0.01501319]]"
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,food,0,0,2,2,"[[0.00380871 0.00387563 0.00024755 0.00037218 0.00071839 0.0002199
  0.0006032  0.00045668 0.00012428 0.00132581 0.00314306 0.03917015
  0.00457591 0.00378539 0.12970744 0.03452808 0.04648062 0.72685707]]","[[0.00000365 0.00001642 0.00000192 0.00000036 0.00000007 0.00000013
  0.00000207 0.00000922 0.00000285 0.00002195 0.00345853 0.00087663
  0.00376234 0.00391227 0.02225614 0.01457604 0.8763988  0.07470075]]"
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,location,0,0,2,2,"[[0.00054846 0.00303705 0.00130847 0.00462562 0.01235255 0.01152141
  0.02030051 0.00995825 0.00185902 0.00906104 0.00984846 0.04747621
  0.00833189 0.00999584 0.57276887 0.05817442 0.11657231 0.10225964]]","[[0.         0.00000001 0.00000044 0.00000008 0.00000044 0.00000122
  0.0000018  0.00000139 0.00000419 0.00000007 0.00000001 0.00000242
  0.00002569 0.00002476 0.         0.00058869 0.6079153  0.39143348]]"
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,restaurant,0,0,2,1,"[[0.007522   0.01550634 0.00298876 0.00427438 0.00495873 0.0020093
  0.00300571 0.00183634 0.00045075 0.00213168 0.00378499 0.02764067
  0.00395053 0.00352386 0.3084089  0.02414954 0.18196507 0.40189245]]","[[0.00000839 0.00002644 0.0000242  0.00000462 0.00000364 0.00000745
  0.00001275 0.00001266 0.00001045 0.00003991 0.00015811 0.00047867
  0.00480221 0.00587108 0.08214223 0.01699465 0.8881841  0.00121842]]"
i was visiting new york city with a friend and we discovered this really warm and inviting restaurant,service,0,0,2,2,"[[0.00864728 0.01552946 0.00222138 0.00127341 0.00311484 0.00071139
  0.0019001  0.00143242 0.00176929 0.00173146 0.00606372 0.00954729
  0.00125547 0.00336088 0.05324516 0.04836057 0.17784613 0.66198975]]","[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.00000004 1.        ]]"
i looove their eggplant pizza as well as their pastas,ambience,0,0,2,2,"[[0.00000218 0.00001774 0.00010561 0.00136364 0.00897233 0.00561328
  0.00739951 0.00948388 0.01756565 0.9494762 ]]","[[0.         0.         0.         0.         0.         0.00000002
  0.00000004 0.         0.00008395 0.9999161 ]]"
i looove their eggplant pizza as well as their pastas,drinks,0,0,2,2,"[[0.00000851 0.00005686 0.00082411 0.04270277 0.08071088 0.00393986
  0.00081402 0.00087128 0.00159996 0.86847174]]","[[0.         0.00000005 0.00018813 0.00163461 0.99337935 0.00000759
  0.00000316 0.00476329 0.00002373 0.        ]]"
i looove their eggplant pizza as well as their pastas,food,1,1,1,1,"[[0.00000709 0.00005572 0.00037941 0.21686    0.20539315 0.00029164
  0.00004595 0.0000834  0.00029963 0.576584  ]]","[[0.00000571 0.00036741 0.13111122 0.15027376 0.4894412  0.03090989
  0.02365713 0.114009   0.05854339 0.00168133]]"
i looove their eggplant pizza as well as their pastas,location,0,0,2,2,"[[0.00000488 0.00005416 0.00084111 0.02486114 0.20505631 0.0352954
  0.01434999 0.01521103 0.01657499 0.687751  ]]","[[0.00000305 0.00005265 0.01071023 0.00711462 0.05134284 0.10903682
  0.08479402 0.27254972 0.43957365 0.02482239]]"
i looove their eggplant pizza as well as their pastas,restaurant,0,0,2,2,"[[0.00000403 0.00001747 0.0002108  0.02579549 0.15496045 0.00760305
  0.00121298 0.00125255 0.00173274 0.80721045]]","[[0.00000005 0.00002559 0.01009784 0.01158074 0.9634811  0.00027633
  0.00012992 0.01429679 0.00011164 0.        ]]"
i looove their eggplant pizza as well as their pastas,service,0,0,2,2,"[[0.00008574 0.00007646 0.00209468 0.00772722 0.07489491 0.01382822
  0.00419732 0.00695606 0.02323525 0.86690414]]","[[0.00000218 0.00000654 0.0009118  0.00143927 0.00038815 0.00003629
  0.00002218 0.0000217  0.00813322 0.9890387 ]]"
