content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,location,0,0,2,2,"0.01312784 0.10226706 0.7765463  0.01018065 0.00586676 0.08219249
  0.00143742 0.00471973 0.00196175 0.00023199 0.0006308  0.00083719]]","0.27888265 0.49755606 0.21443182 0.00333376 0.00176139 0.001856
  0.00161677 0.00049146 0.00004712 0.00000739 0.00001236 0.00000314]]"
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,restaurant,0,0,2,2,"0.00511773 0.05703624 0.5696794  0.05150961 0.02028719 0.26906937
  0.00653054 0.01644571 0.00328376 0.00022413 0.00055127 0.00026509]]","0.0848968  0.31106272 0.07540377 0.06435654 0.17195575 0.1320845
  0.12206274 0.03774403 0.00039341 0.00000727 0.00002497 0.00000751]]"
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,service,1,1,1,1,"0.00032702 0.00270221 0.9841997  0.00286323 0.00052287 0.00929578
  0.00001377 0.00005363 0.00001433 0.00000346 0.00000186 0.00000211]]","0.22097072 0.46755868 0.28201655 0.01777337 0.0062158  0.00425031
  0.00116971 0.00004471 0.00000004 0.         0.         0.        ]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",ambience,0,0,2,2,"0.53277403 0.02657154 0.11757265 0.1727054  0.09236571 0.01949838
  0.00772172 0.01698609 0.00535304 0.00157448 0.00125349 0.00193842
  0.00201409 0.00167099]]","0.00081863 0.0921435  0.13834949 0.25566825 0.39246976 0.02985691
  0.0154588  0.03312346 0.01457749 0.00966588 0.00440454 0.00791324
  0.0034634  0.00208661]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",drinks,0,0,2,2,"0.44737026 0.06468879 0.09078556 0.07875851 0.01248932 0.06150494
  0.02627736 0.15997748 0.03182075 0.00173035 0.00690927 0.00261334
  0.00374808 0.01132598]]","0.00000026 0.0091997  0.04394114 0.30033875 0.63078976 0.00335985
  0.00195441 0.00874716 0.0007545  0.0002557  0.00010716 0.00037209
  0.00013621 0.00004339]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",food,0,0,2,2,"0.7924297  0.11102522 0.05184993 0.01088781 0.00630936 0.01010903
  0.00105401 0.01071194 0.00305771 0.00015735 0.00046405 0.00063703
  0.00045801 0.00084888]]","0.01560187 0.06698902 0.22478151 0.26624975 0.29808307 0.05897726
  0.02502258 0.01944756 0.01263385 0.00552454 0.00169163 0.00135178
  0.00159454 0.00205111]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",location,0,0,2,2,"0.10016421 0.00436076 0.02496599 0.02224394 0.6422158  0.02582202
  0.00809305 0.10261042 0.01154811 0.00116893 0.00532813 0.01990663
  0.01322696 0.01834507]]","0.00939005 0.01199549 0.07709475 0.6398655  0.01242871 0.0313004
  0.07505078 0.05328471 0.04197913 0.00444344 0.01912987 0.0094152
  0.01044587 0.00417612]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",restaurant,1,1,1,1,"0.06546338 0.0046988  0.01445852 0.01603938 0.74010706 0.08775567
  0.00938188 0.05192939 0.00572858 0.0003083  0.00100144 0.00112335
  0.00079032 0.00121391]]","0.01013192 0.00171965 0.03685865 0.8313027  0.08937094 0.00801029
  0.01010409 0.00350475 0.00514817 0.00044806 0.00232757 0.00035911
  0.00042428 0.00028984]]"
"[""i've"", 'been  to  this  restaurant  over  a  dozen  times  with  no  complaints  to  date",service,0,1,2,-1,"0.2973565  0.03897394 0.06183524 0.02641314 0.3600879  0.04428441
  0.01273505 0.08575094 0.00733513 0.00209347 0.00772206 0.04951933
  0.00241165 0.00348124]]","0.04784631 0.03692235 0.09532926 0.17258121 0.03529566 0.09251053
  0.11692891 0.08622242 0.15770838 0.03094449 0.09940536 0.02104851
  0.00607889 0.00117778]]"
snotty  attitude,ambience,0,0,2,2,0.12651621 0.8734838 ]],0.6071056 0.3928944]]
snotty  attitude,drinks,0,0,2,2,0.24309728 0.75690275]],0.8954775 0.1045226]]
snotty  attitude,food,0,0,2,2,0.54858357 0.45141646]],0.4336107 0.5663893]]
snotty  attitude,location,0,0,2,2,0.41576222 0.58423775]],0.51212937 0.48787063]]
snotty  attitude,restaurant,0,0,2,2,0.35382962 0.6461704 ]],0.5903746  0.40962538]]
snotty  attitude,service,1,1,-1,-1,0.68468624 0.31531376]],0.35638753 0.64361244]]
we  were  treated  very  rudely  here  one  time  for  breakfast,ambience,0,0,2,2,"0.08743685 0.02003975 0.08088652 0.0691786  0.635214   0.03092559
  0.01610255 0.02789141 0.00370712 0.02861765]]","0.01992658 0.01165887 0.19302583 0.17331764 0.00056544 0.03157485
  0.2169991  0.19847888 0.11998729 0.03446547]]"
we  were  treated  very  rudely  here  one  time  for  breakfast,drinks,0,0,2,2,"0.16081059 0.01299358 0.09697331 0.07501666 0.5865742  0.02773592
  0.01983465 0.01377963 0.00135104 0.00493042]]","0.00419767 0.00600746 0.40286338 0.43328977 0.00000346 0.00674475
  0.04689246 0.07790203 0.02067429 0.00142485]]"
we  were  treated  very  rudely  here  one  time  for  breakfast,food,0,0,2,2,"0.05282263 0.01329696 0.46137828 0.11503204 0.3143579  0.01187596
  0.00736816 0.00495633 0.00043886 0.01847289]]","0.03646136 0.06388962 0.00789478 0.31622648 0.32852283 0.04327349
  0.04750504 0.05416136 0.05566713 0.04639791]]"
we  were  treated  very  rudely  here  one  time  for  breakfast,location,0,0,2,2,"0.05373506 0.01250209 0.03210144 0.03236406 0.6354647  0.02494561
  0.02552763 0.03281027 0.00498235 0.14556676]]","0.04041601 0.05250217 0.09332207 0.2570884  0.04363237 0.02945307
  0.10530869 0.05361159 0.15698366 0.16768198]]"
we  were  treated  very  rudely  here  one  time  for  breakfast,restaurant,0,0,2,2,"0.03572161 0.00777227 0.05694851 0.03466104 0.5174169  0.01691543
  0.01128993 0.01885507 0.00283713 0.2975821 ]]","0.02877948 0.017653   0.01101758 0.14398141 0.6506975  0.00847416
  0.00843072 0.00499069 0.03142897 0.09454638]]"
we  were  treated  very  rudely  here  one  time  for  breakfast,service,1,1,-1,1,"0.0028053  0.00225938 0.0374451  0.01934716 0.93065625 0.00116806
  0.0013259  0.00106791 0.00009393 0.00383102]]","0.02692618 0.10577846 0.00845302 0.27349457 0.57852954 0.00507144
  0.00030406 0.00052753 0.00024577 0.00066953]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,ambience,0,0,2,2,"0.0144999  0.21374013 0.01828236 0.23515195 0.04666782 0.45414907
  0.01457658 0.00092536 0.00039863 0.00160822]]","0.14617915 0.10204892 0.08887177 0.09261397 0.5568617  0.00552682
  0.00153609 0.00595653 0.00022893 0.00017612]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,drinks,0,0,2,2,"0.06355993 0.6292094  0.03916929 0.18455312 0.02411052 0.03168104
  0.01443454 0.00551443 0.00288587 0.00488188]]","0.02510749 0.00000053 0.18565993 0.0880658  0.60740775 0.06109373
  0.00070227 0.0308669  0.00032074 0.00077495]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,food,0,0,2,2,"0.19632858 0.75649416 0.0244264  0.01103407 0.00264356 0.00200195
  0.00243346 0.00130617 0.00095253 0.00237913]]","0.5984029  0.07838397 0.20690824 0.03331017 0.02632828 0.01090598
  0.00740367 0.01511252 0.01468674 0.00855735]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,location,0,0,2,2,"0.0300045  0.73977566 0.01737418 0.08235593 0.02489026 0.07994507
  0.00576682 0.00103584 0.0015632  0.01728855]]","0.590412   0.14877355 0.1327414  0.02834365 0.06621876 0.01309295
  0.00304188 0.00927118 0.00582635 0.00227828]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,restaurant,0,0,2,2,"0.01246717 0.90010583 0.02102093 0.02622208 0.0045235  0.02881332
  0.00419722 0.00047766 0.00044347 0.00172883]]","0.55137956 0.0380482  0.3252008  0.02563257 0.04369956 0.00791825
  0.00138253 0.00551032 0.000807   0.00042115]]"
the  owner  is  belligerent  to  guests  that  have  a  complaint,service,1,1,-1,-1,"0.00963103 0.8221049  0.00494018 0.06880446 0.00558746 0.0456729
  0.00391973 0.00204146 0.0032518  0.0340461 ]]","0.34032124 0.3486185  0.16115698 0.026878   0.06308681 0.00988328
  0.00364135 0.01183024 0.02604807 0.00853541]]"
good  food,ambience,0,0,2,2,0.29070425 0.70929575]],0.94974625 0.05025382]]
good  food,drinks,0,0,2,2,0.2580301 0.7419699]],0.63176286 0.36823714]]
good  food,food,1,1,1,1,0.01002628 0.9899737 ]],0.75756586 0.24243411]]
good  food,location,0,0,2,2,0.12968105 0.87031895]],0.98725325 0.0127468 ]]
good  food,restaurant,0,0,2,2,0.03420766 0.96579236]],0.7459823  0.25401774]]
good  food,service,0,0,2,2,0.14214979 0.8578502 ]],0.9758118  0.02418823]]
this  is  a  great  place  to  get  a  delicious  meal,ambience,0,0,2,2,"0.00837833 0.00618602 0.0073531  0.17143199 0.61393964 0.16116413
  0.01560915 0.00210494 0.0112839  0.00254878]]","0.00071941 0.03044664 0.09023584 0.8736642  0.00026506 0.00227661
  0.00238919 0.00000056 0.00000033 0.00000227]]"
this  is  a  great  place  to  get  a  delicious  meal,drinks,0,0,2,2,"0.0401354  0.02013043 0.01469503 0.15372765 0.15766929 0.05377721
  0.02953556 0.00998541 0.31133813 0.20900589]]","0.00000769 0.00004057 0.00053891 0.0127965  0.00028023 0.00370317
  0.01547209 0.04320142 0.63033694 0.29362252]]"
this  is  a  great  place  to  get  a  delicious  meal,food,1,1,1,1,"0.0124186  0.00254171 0.00052939 0.003211   0.00447632 0.00052021
  0.0001893  0.00008357 0.03867729 0.9373526 ]]","0.00000972 0.00006653 0.00009957 0.00104255 0.00016488 0.00003617
  0.01402792 0.06112575 0.92266995 0.00075693]]"
this  is  a  great  place  to  get  a  delicious  meal,location,0,0,2,2,"0.0172219  0.01049386 0.00621226 0.05138826 0.49369463 0.21736966
  0.05660261 0.0117605  0.07443772 0.06081861]]","0.00048767 0.01362058 0.04619819 0.8893291  0.00015002 0.00980063
  0.03648756 0.00020228 0.00047592 0.00324813]]"
this  is  a  great  place  to  get  a  delicious  meal,restaurant,0,0,2,2,"0.00298939 0.0039925  0.00164015 0.01355552 0.11120594 0.02135929
  0.00729921 0.00285032 0.2066382  0.6284695 ]]","0.00016845 0.00110199 0.00093304 0.0100972  0.00095683 0.00010945
  0.00345515 0.02492433 0.95608115 0.00217255]]"
this  is  a  great  place  to  get  a  delicious  meal,service,0,0,2,2,"0.00435652 0.00338503 0.00220072 0.01576478 0.0609034  0.02562431
  0.01006619 0.00445519 0.1529236  0.7203203 ]]","0.00000001 0.00000013 0.00000058 0.00001012 0.00000124 0.00000479
  0.00029696 0.00312375 0.9965624  0.00000014]]"
we  never  had  to  wait  more  than  5  minutes,ambience,0,0,2,2,"0.07299612 0.06132355 0.01447511 0.10420542 0.43754542 0.13062933
  0.02445782 0.06425438 0.09011284]]","0.01488193 0.01898507 0.3872506  0.3490203  0.00000051 0.0199459
  0.00888064 0.08078061 0.12025433]]"
we  never  had  to  wait  more  than  5  minutes,drinks,0,0,2,2,"0.21255672 0.24669689 0.06231792 0.07425054 0.3137081  0.00951362
  0.00331366 0.03932655 0.038316  ]]","0.00307749 0.00519127 0.24233909 0.34085876 0.00000007 0.00400546
  0.0010722  0.02675488 0.37670085]]"
we  never  had  to  wait  more  than  5  minutes,food,0,0,2,2,"0.30558664 0.24009521 0.08438746 0.06559429 0.09900251 0.00283711
  0.00157259 0.04966081 0.15126337]]","0.02113703 0.08236451 0.20167096 0.15462284 0.26591596 0.02072744
  0.01500693 0.02858721 0.20996712]]"
we  never  had  to  wait  more  than  5  minutes,location,0,0,2,2,"0.02422615 0.01229251 0.00590961 0.03974956 0.16406532 0.02353049
  0.01144493 0.20147319 0.51730824]]","0.0296976  0.01966551 0.06980785 0.17647663 0.2579069  0.10115239
  0.09541422 0.23695652 0.01292239]]"
we  never  had  to  wait  more  than  5  minutes,restaurant,0,1,2,-1,"0.09042864 0.08969653 0.02787627 0.08517977 0.46255448 0.0200993
  0.00643145 0.07463905 0.14309451]]","0.04093649 0.02028314 0.04963402 0.04834828 0.2814791  0.05081313
  0.07234772 0.08296862 0.35318962]]"
we  never  had  to  wait  more  than  5  minutes,service,1,1,1,-1,"0.01758567 0.03936095 0.08241974 0.0893185  0.5592851  0.00929042
  0.00616522 0.0968148  0.09975959]]","0.03366048 0.03549583 0.03371764 0.10429063 0.21458894 0.03640842
  0.05272792 0.04168719 0.44742286]]"
the  staff  is  pretty  friendly,ambience,0,0,2,2,0.01312889 0.6643928  0.04230716 0.04991201 0.23025908]],0.48374552 0.17739736 0.11960696 0.11408917 0.10516091]]
the  staff  is  pretty  friendly,drinks,0,0,2,2,0.04632572 0.7976946  0.08531636 0.02440326 0.04626006]],0.31498617 0.00000031 0.5939304  0.01924839 0.07183471]]
the  staff  is  pretty  friendly,food,0,0,2,2,0.10306142 0.7106394  0.14620516 0.00908831 0.0310057 ]],0.17206688 0.01276494 0.50250006 0.09116796 0.22150023]]
the  staff  is  pretty  friendly,location,0,0,2,2,0.01740699 0.79112786 0.03215111 0.00908843 0.15022561]],0.47703046 0.20776373 0.23973334 0.04122069 0.03425181]]
the  staff  is  pretty  friendly,restaurant,0,0,2,2,0.00954817 0.5908988  0.13408203 0.01338786 0.25208312]],0.13348833 0.0494203  0.44454378 0.17704268 0.19550492]]
the  staff  is  pretty  friendly,service,1,1,1,1,0.00090124 0.985879   0.00154987 0.00024975 0.01142011]],0.5609889  0.19814956 0.23530337 0.00357873 0.0019795 ]]
the  onion  rings  are  great,ambience,0,0,2,2,0.00904272 0.06884935 0.8964642  0.0124402  0.01320348]],0.6484444  0.34198886 0.00085508 0.00776748 0.00094422]]
the  onion  rings  are  great,drinks,0,0,2,2,0.00791803 0.48760697 0.49022925 0.00451526 0.0097305 ]],0.38797244 0.5212399  0.06512732 0.01514346 0.01051684]]
the  onion  rings  are  great,food,1,1,1,1,0.00100929 0.67950016 0.31540728 0.00166665 0.00241661]],0.3059944  0.08390339 0.5816711  0.02512681 0.00330439]]
the  onion  rings  are  great,location,0,0,2,2,0.04490047 0.5925057  0.3321838  0.01254189 0.01786813]],0.24713516 0.00068658 0.7448586  0.00622462 0.00109504]]
the  onion  rings  are  great,restaurant,0,0,2,2,0.00305127 0.5377092  0.45435938 0.00222427 0.00265593]],0.4380097  0.20283574 0.35170135 0.00621052 0.00124263]]
the  onion  rings  are  great,service,0,0,2,2,0.01163845 0.529803   0.38836974 0.01224101 0.05794784]],0.21343468 0.00296842 0.7616223  0.01703853 0.00493605]]
they  are  not  greasy  or  anything,ambience,0,0,2,2,0.19472285 0.05414188 0.05738196 0.38614395 0.07342411 0.23418526]],0.05660246 0.39887828 0.0492942  0.00033487 0.29432216 0.20056802]]
they  are  not  greasy  or  anything,drinks,0,0,2,2,0.48599637 0.07543346 0.11395617 0.19714613 0.03944564 0.08802225]],0.01000914 0.55064076 0.13754724 0.09167673 0.12104739 0.08907878]]
they  are  not  greasy  or  anything,food,1,1,1,-1,0.02929026 0.00508461 0.00716459 0.94149345 0.0097869  0.00718019]],0.03214177 0.18229331 0.04791756 0.10981584 0.3349693  0.29286224]]
they  are  not  greasy  or  anything,location,0,0,2,2,0.18903174 0.0448491  0.04401207 0.6287606  0.04577591 0.04757061]],0.0836025  0.55936664 0.07314431 0.00195107 0.20500489 0.07693067]]
they  are  not  greasy  or  anything,restaurant,0,0,2,2,0.16539548 0.03609945 0.02845737 0.7442893  0.01617196 0.00958644]],0.07847055 0.49633604 0.05204763 0.02672036 0.21807781 0.1283477 ]]
they  are  not  greasy  or  anything,service,0,0,2,2,0.03676429 0.00677114 0.02814342 0.8710199  0.02880573 0.0284955 ]],0.00371182 0.11800463 0.01277929 0.00344962 0.6598828  0.20217182]]
overrated'],ambience,0,0,2,2,1.]],1.]]
overrated'],drinks,0,0,2,2,1.]],1.]]
overrated'],food,0,0,2,-1,1.]],1.]]
overrated'],location,0,0,2,2,1.]],1.]]
overrated'],restaurant,1,1,-1,-1,1.]],1.]]
overrated'],service,0,0,2,2,1.]],1.]]
i  was  highly  disappointed  in  the  food  at  pagoda,ambience,0,0,2,2,"0.01687938 0.00491944 0.01912624 0.40191814 0.11442412 0.10536367
  0.28039986 0.03068841 0.02628076]]","0.00005519 0.00072407 0.01135648 0.0000367  0.13981767 0.2957254
  0.5243775  0.02397533 0.00393162]]"
i  was  highly  disappointed  in  the  food  at  pagoda,drinks,0,0,2,2,"0.08893308 0.02225373 0.03406885 0.53939384 0.0294171  0.02450169
  0.244701   0.01297995 0.00375078]]","0.00012839 0.00932076 0.12991597 0.00000001 0.49125537 0.07055088
  0.29836977 0.00045681 0.00000204]]"
i  was  highly  disappointed  in  the  food  at  pagoda,food,1,1,-1,-1,"0.00816565 0.00576732 0.00483017 0.05110193 0.00233534 0.00109882
  0.92526597 0.00130135 0.00013344]]","0.00168985 0.00597492 0.04065818 0.01132516 0.27814683 0.6491641
  0.01082537 0.00187437 0.00034123]]"
i  was  highly  disappointed  in  the  food  at  pagoda,location,0,0,2,2,"0.0077013  0.0065972  0.01160338 0.10738712 0.0395001  0.05633953
  0.5772309  0.10362379 0.09001672]]","0.00014497 0.00063344 0.00583189 0.00395191 0.1011781  0.87770486
  0.00058407 0.00665431 0.00331643]]"
