content,aspect,label,sentiment_value
i would really recommend to any person out there to get this laptop cause its really worth it,mouse,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,multimedia_devices,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,optical_drives,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,os,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,ports,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,power_supply,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,shipping,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,software,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,support,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,warranty,0,2
and its really cheap and you wont regret buying it,battery,0,2
and its really cheap and you wont regret buying it,company,0,2
and its really cheap and you wont regret buying it,cpu,0,2
and its really cheap and you wont regret buying it,display,0,2
and its really cheap and you wont regret buying it,fans_cooling,0,2
and its really cheap and you wont regret buying it,graphics,0,2
and its really cheap and you wont regret buying it,hard_disc,0,2
and its really cheap and you wont regret buying it,hardware,0,2
and its really cheap and you wont regret buying it,keyboard,0,2
and its really cheap and you wont regret buying it,laptop,1,1
and its really cheap and you wont regret buying it,memory,0,2
and its really cheap and you wont regret buying it,motherboard,0,2
and its really cheap and you wont regret buying it,mouse,0,2
and its really cheap and you wont regret buying it,multimedia_devices,0,2
and its really cheap and you wont regret buying it,optical_drives,0,2
and its really cheap and you wont regret buying it,os,0,2
and its really cheap and you wont regret buying it,ports,0,2
and its really cheap and you wont regret buying it,power_supply,0,2
and its really cheap and you wont regret buying it,shipping,0,2
and its really cheap and you wont regret buying it,software,0,2
and its really cheap and you wont regret buying it,support,0,2
and its really cheap and you wont regret buying it,warranty,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,battery,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,company,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,cpu,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,display,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,fans_cooling,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,graphics,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,hard_disc,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,hardware,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,keyboard,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,laptop,1,1
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,memory,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,motherboard,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,mouse,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,multimedia_devices,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,optical_drives,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,os,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,ports,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,power_supply,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,shipping,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,software,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,support,0,2
as a computer science student in college i find that the portability longevity and ease of use of this computer make me  shockingly want to do homework more,warranty,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,battery,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,company,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,cpu,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,display,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,fans_cooling,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,graphics,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,hard_disc,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,hardware,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,keyboard,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,laptop,1,1
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,memory,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,motherboard,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,mouse,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,multimedia_devices,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,optical_drives,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,os,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,ports,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,power_supply,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,shipping,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,software,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,support,0,2
without a big ol' clunky machine in my backpack i feel like i can do programming homework anywhere,warranty,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,battery,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,company,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,cpu,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,display,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,fans_cooling,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,graphics,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,hard_disc,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,hardware,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,keyboard,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,laptop,1,1
i highly recommend this computer for students looking for a solid machine to get them through college,memory,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,motherboard,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,mouse,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,multimedia_devices,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,optical_drives,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,os,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,ports,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,power_supply,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,shipping,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,software,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,support,0,2
i highly recommend this computer for students looking for a solid machine to get them through college,warranty,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,battery,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,company,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,cpu,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,display,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,fans_cooling,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,graphics,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,hard_disc,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,hardware,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,keyboard,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,laptop,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,memory,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,motherboard,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,mouse,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,multimedia_devices,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,optical_drives,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,os,1,1
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,ports,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,power_supply,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,shipping,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,software,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,support,0,2
a great feature is the spotlight search: one can search for documents by simply typing a keyword rather than parsing tens of file folders for a document,warranty,0,2
oh my goodness-i am not a happy camper,battery,0,2
oh my goodness-i am not a happy camper,company,0,2
oh my goodness-i am not a happy camper,cpu,0,2
oh my goodness-i am not a happy camper,display,0,2
oh my goodness-i am not a happy camper,fans_cooling,0,2
oh my goodness-i am not a happy camper,graphics,0,2
oh my goodness-i am not a happy camper,hard_disc,0,2
oh my goodness-i am not a happy camper,hardware,0,2
oh my goodness-i am not a happy camper,keyboard,0,2
oh my goodness-i am not a happy camper,laptop,1,-1
oh my goodness-i am not a happy camper,memory,0,2
oh my goodness-i am not a happy camper,motherboard,0,2
oh my goodness-i am not a happy camper,mouse,0,2
oh my goodness-i am not a happy camper,multimedia_devices,0,2
oh my goodness-i am not a happy camper,optical_drives,0,2
oh my goodness-i am not a happy camper,os,0,2
oh my goodness-i am not a happy camper,ports,0,2
oh my goodness-i am not a happy camper,power_supply,0,2
oh my goodness-i am not a happy camper,shipping,0,2
oh my goodness-i am not a happy camper,software,0,2
oh my goodness-i am not a happy camper,support,0,2
oh my goodness-i am not a happy camper,warranty,0,2
my hp is very heavy,battery,0,2
my hp is very heavy,company,0,2
my hp is very heavy,cpu,0,2
my hp is very heavy,display,0,2
my hp is very heavy,fans_cooling,0,2
my hp is very heavy,graphics,0,2
my hp is very heavy,hard_disc,0,2
my hp is very heavy,hardware,0,2
my hp is very heavy,keyboard,0,2
my hp is very heavy,laptop,1,-1
my hp is very heavy,memory,0,2
my hp is very heavy,motherboard,0,2
my hp is very heavy,mouse,0,2
my hp is very heavy,multimedia_devices,0,2
my hp is very heavy,optical_drives,0,2
my hp is very heavy,os,0,2
my hp is very heavy,ports,0,2
my hp is very heavy,power_supply,0,2
my hp is very heavy,shipping,0,2
my hp is very heavy,software,0,2
my hp is very heavy,support,0,2
my hp is very heavy,warranty,0,2
not easy to carry,battery,0,2
not easy to carry,company,0,2
not easy to carry,cpu,0,2
not easy to carry,display,0,2
not easy to carry,fans_cooling,0,2
not easy to carry,graphics,0,2
not easy to carry,hard_disc,0,2
not easy to carry,hardware,0,2
not easy to carry,keyboard,0,2
not easy to carry,laptop,1,-1
not easy to carry,memory,0,2
not easy to carry,motherboard,0,2
not easy to carry,mouse,0,2
not easy to carry,multimedia_devices,0,2
not easy to carry,optical_drives,0,2
not easy to carry,os,0,2
not easy to carry,ports,0,2
not easy to carry,power_supply,0,2
not easy to carry,shipping,0,2
not easy to carry,software,0,2
not easy to carry,support,0,2
not easy to carry,warranty,0,2
the battery has never worked well,battery,1,-1
the battery has never worked well,company,0,2
the battery has never worked well,cpu,0,2
the battery has never worked well,display,0,2
the battery has never worked well,fans_cooling,0,2
the battery has never worked well,graphics,0,2
the battery has never worked well,hard_disc,0,2
the battery has never worked well,hardware,0,2
the battery has never worked well,keyboard,0,2
the battery has never worked well,laptop,0,2
the battery has never worked well,memory,0,2
the battery has never worked well,motherboard,0,2
the battery has never worked well,mouse,0,2
the battery has never worked well,multimedia_devices,0,2
the battery has never worked well,optical_drives,0,2
the battery has never worked well,os,0,2
the battery has never worked well,ports,0,2
the battery has never worked well,power_supply,0,2
the battery has never worked well,shipping,0,2
the battery has never worked well,software,0,2
the battery has never worked well,support,0,2
the battery has never worked well,warranty,0,2
the battery gets so hot it is scary,battery,1,-1
the battery gets so hot it is scary,company,0,2
the battery gets so hot it is scary,cpu,0,2
the battery gets so hot it is scary,display,0,2
the battery gets so hot it is scary,fans_cooling,0,2
the battery gets so hot it is scary,graphics,0,2
the battery gets so hot it is scary,hard_disc,0,2
the battery gets so hot it is scary,hardware,0,2
the battery gets so hot it is scary,keyboard,0,2
the battery gets so hot it is scary,laptop,0,2
the battery gets so hot it is scary,memory,0,2
the battery gets so hot it is scary,motherboard,0,2
the battery gets so hot it is scary,mouse,0,2
the battery gets so hot it is scary,multimedia_devices,0,2
the battery gets so hot it is scary,optical_drives,0,2
the battery gets so hot it is scary,os,0,2
the battery gets so hot it is scary,ports,0,2
the battery gets so hot it is scary,power_supply,0,2
the battery gets so hot it is scary,shipping,0,2
the battery gets so hot it is scary,software,0,2
the battery gets so hot it is scary,support,0,2
the battery gets so hot it is scary,warranty,0,2
yet hp won't do anything about the problem,battery,0,2
yet hp won't do anything about the problem,company,0,2
yet hp won't do anything about the problem,cpu,0,2
yet hp won't do anything about the problem,display,0,2
yet hp won't do anything about the problem,fans_cooling,0,2
yet hp won't do anything about the problem,graphics,0,2
yet hp won't do anything about the problem,hard_disc,0,2
yet hp won't do anything about the problem,hardware,0,2
yet hp won't do anything about the problem,keyboard,0,2
yet hp won't do anything about the problem,laptop,0,2
yet hp won't do anything about the problem,memory,0,2
yet hp won't do anything about the problem,motherboard,0,2
yet hp won't do anything about the problem,mouse,0,2
yet hp won't do anything about the problem,multimedia_devices,0,2
yet hp won't do anything about the problem,optical_drives,0,2
yet hp won't do anything about the problem,os,0,2
yet hp won't do anything about the problem,ports,0,2
yet hp won't do anything about the problem,power_supply,0,2
yet hp won't do anything about the problem,shipping,0,2
yet hp won't do anything about the problem,software,0,2
yet hp won't do anything about the problem,support,1,-1
yet hp won't do anything about the problem,warranty,0,2
i returned the computer to hp and they kept it for 3 months,battery,0,2
i returned the computer to hp and they kept it for 3 months,company,0,2
i returned the computer to hp and they kept it for 3 months,cpu,0,2
i returned the computer to hp and they kept it for 3 months,display,0,2
i returned the computer to hp and they kept it for 3 months,fans_cooling,0,2
i returned the computer to hp and they kept it for 3 months,graphics,0,2
i returned the computer to hp and they kept it for 3 months,hard_disc,0,2
i returned the computer to hp and they kept it for 3 months,hardware,0,2
i returned the computer to hp and they kept it for 3 months,keyboard,0,2
i returned the computer to hp and they kept it for 3 months,laptop,0,2
i returned the computer to hp and they kept it for 3 months,memory,0,2
i returned the computer to hp and they kept it for 3 months,motherboard,0,2
i returned the computer to hp and they kept it for 3 months,mouse,0,2
i returned the computer to hp and they kept it for 3 months,multimedia_devices,0,2
i returned the computer to hp and they kept it for 3 months,optical_drives,0,2
i returned the computer to hp and they kept it for 3 months,os,0,2
i returned the computer to hp and they kept it for 3 months,ports,0,2
i returned the computer to hp and they kept it for 3 months,power_supply,0,2
i returned the computer to hp and they kept it for 3 months,shipping,0,2
i returned the computer to hp and they kept it for 3 months,software,0,2
i returned the computer to hp and they kept it for 3 months,support,1,-1
i returned the computer to hp and they kept it for 3 months,warranty,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,battery,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,company,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,cpu,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,display,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,fans_cooling,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,graphics,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,hard_disc,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,hardware,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,keyboard,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,laptop,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,memory,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,motherboard,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,mouse,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,multimedia_devices,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,optical_drives,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,os,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,ports,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,power_supply,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,shipping,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,software,0,2
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,support,1,-1
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,warranty,0,2
so you can imagine how unhappy i am with this item,battery,0,2
so you can imagine how unhappy i am with this item,company,0,2
so you can imagine how unhappy i am with this item,cpu,0,2
so you can imagine how unhappy i am with this item,display,0,2
so you can imagine how unhappy i am with this item,fans_cooling,0,2
